"Country","Region","Construction_end","steel","copper","aluminum","unspecified_metal","wood","paper_cardboard","straw","concrete","cement","aggregates","brick","mortar_plaster","mineral_fill","plaster_board_gypsum","Adobe","Asphalt","Bitumen","natural_stone","cement_asbestos","Clay","siding_unspecified","Ceramics","Glass","Plastics","Polystyrene","PVC","Lineoleum","Carpet","Heraklith","Mineral_wool","full_volume"
"China","0",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Grenada","0",0,0.0635397859040674,0,0,0,0.0544926973014126,0,0,0.786931565123957,0,0.0950359516705627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"India","0",0,0,0,0,0,0.00180928054491273,0,0,0.298053158907738,0,0,0.522125852017845,0.0458554689928462,0.132156239536658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Switzerland","0",0,0,0,0,0.000629986711550666,0.029665167483911,0,0,0.513863877020698,0,0,0.191828213884406,0.261018333818369,0,0,0,0,0,0,0,0,0,0,0.00299442108106427,0,0,0,0,0,0,0,1
"Indonesia","Bandung",0,0.0136479832095582,0,0,0.000166093721941991,0.0588818430290089,0,0,0.00489564911085584,0.0810026030592156,0.308835381704884,0.00143347040092984,0,0,0.0033136379043182,0,0,0,0.305016094618482,0.00016201676834043,0.203271621621052,0,0.0181596125729877,0.00121399227842542,0,0,0,0,0,0,0,1
"Peru","Chiclayo",0,0.0157653618649349,0,0,0,0.00793484196149261,0,0,0.545960074324456,0,0,0.108621896145352,0.107968537511072,0,0,0.212117166657131,0,0,0,0,0,0,0,0.000899923975746759,0,0,0.000732197559815497,0,0,0,0,1
"Luxembourg","Esch-sur-Alzette",0,0,0,0,0.0170511534617833,0.0120361083239061,0,0,0.429287863593224,0,0.136409227678347,0.403209628888601,0,0,0,0,0,0,0,0,0,0,0,0.00200601805413844,0,0,0,0,0,0,0,1
"Indonesia","Jakarta",0,0.0131802153426157,0,0,0.000203225395855078,0.0618098200674501,0,0,0.0072436078706997,0.0793170091816685,0.303239274593714,0,0,0,0.00450213718501915,0,0,0,0.309496481901574,0.00128498288481283,0.200066522153325,0,0.0192064052706432,0.00045031815262353,0,0,0,0,0,0,0,1
"USA","Los Angeles",0,0.157243809635135,0,0,0,0.0806939913218511,0,0,0.762062199043014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Austria","Vienna",0,0.0339118475249497,0.000158920136259997,0.000445027514979304,5.15791700362524e-07,0.0280415150349472,2.6989399328983e-05,0,0.847128191236327,0,0.0122971344738625,0.01672547561809,0.0104756492208742,0.00617766408491245,0.022078120932877,0,0.00175354428967382,0.00389453928263134,0.000387161165679695,0,0,0,0.00163080307236974,0.00298252051558012,0.00324399681551432,0.00305254281228677,3.48871815714517e-05,1.47685340584797e-05,7.32665282455613e-06,0.000812729373792239,0.00471812933490855,1
"Sweden","0",1891,0.00414364640883978,0,0,0,0.0524861878453039,0,0,0.0117403314917127,0,0.299723756906077,0.629834254143646,0,0,0,0,0,0,0,0,0,0,0,0.00207182320441989,0,0,0,0,0,0,0,1
"Norway","0",1900,0,0,0,0,0.857971014492754,0,0,0.142028985507246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sweden","0",1901,0.0170441590413337,0,0,0,0.156367201600401,0,0,0.0422724593523236,0,0.394939421741237,0.31574524527966,0,0.0701783315393946,0,0,0,0,0,0,0,0,0,0.00345318144564964,0,0,0,0,0,0,0,1
"Sweden","0",1911,0.0368967458298597,0,0,0,0.100304134325959,0,0,0.103170905058423,0,0.296619977139846,0.442935709881158,0,0.0165847665847666,0,0,0,0,0,0,0,0,0,0.00348776117998666,0,0,0,0,0,0,0,1
"Austria","Vienna",1918,0.00933410296509033,0.000184761880642355,0.000112723212627876,8.08910515941057e-05,0.0303418387728304,0,0,0.0967482465559931,0.00059029836053263,0,0.652983182621584,0.20423063885302,0.000276778014660005,0.00169430982899892,0,0,8.57896388616176e-05,4.06230802403459e-05,1.20604871629104e-05,0,0,0.00125101518039465,0.000909712091316502,0.00071970673579963,0,0.00017092771162799,9.77930954858698e-05,0,4.49218325919345e-05,8.96780289453755e-05,1
"Germany","0",1919,0,0,0,0.000239377618192699,0.037964608857526,0,0,0.0697657986640643,0,0,0.56617087258207,0.199707337490595,0.0466786355475763,0.0794733692399761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Norway","0",1920,0,0,0,0,0.533490011750881,0,0,0.466509988249119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sweden","0",1921,0.0102040816326531,0,0,0,0.0981626019855396,0,0,0.0615900531393489,0,0.518666946735357,0.308189061106566,0,0,0,0,0,0.00108342361863489,0,0,0,0,0,0.00210383178190019,0,0,0,0,0,0,0,1
"Sweden","0",1931,0.0469561722491117,0,0,0,0.145101402890796,0,0,0.356080694928401,0,0.134353846160118,0.286772674583958,0,0.0236108468240185,0,0,0,0.00350425339590634,0,0,0,0,0,0.0036201089676896,0,0,0,0,0,0,0,1
"Germany","0",1939,0,0,0,0,0.0687830687768533,0,0,0.0899470899445597,0,0,0.555555555561331,0.285714285717256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Norway","0",1940,0,0,0,0,0.35,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sweden","0",1941,0.0318548387096774,0.0076271186440678,0,0,0.122539639147075,0,0,0.35659513395298,0,0.0999863313285949,0.244354838709677,0,0.111297156916348,0.0186440677966102,0,0,0.00338983050847458,0,0,0,0,0,0.00371104428649535,0,0,0,0,0,0,0,1
"Norway","0",1945,0,0,0,0,0.189919965390439,0,0,0.810080034609561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
