sq_meters;functionality;year_build;concrete_base;single_wall_length;brick_wall_total;glass_windows_lengh;glass_window_area;steel;copper;glass;polystyrene;timber
24;3;2011;7.2;4.898979486;5.486857024;3;8;22.64;7.0232;8.3;8.42;6.2
50;3;1952;15;7.071067812;7.919595949;6;3;26.3;6.74;13.5;17.6;6.7
1622;3;1995;486.6;40.27406113;45.10694847;36;2;597.92;158.3096;336.6;537.36;165.7
7647;3;1969;2294.1;87.44712688;97.94078211;24;2;2766.52;750.0296;1530.7;2529.01;768.3
7297;1;2017;2189.1;85.42247948;95.67317701;29;2;2627.12;712.0496;1474.3;2411.41;732.1
9280;2;1961;2784;96.33275663;107.8926874;28;3;3346.1;903.204;1856;3065.7;929.3
910;2;1951;273;30.16620626;33.78615101;22;2;334;93.488;194.8;303.2;94
9575;2;2002;2872.5;97.85192895;109.5941604;62;2;3454.8;936.76;1915.5;3162.85;959.1
2290;3;1983;687;47.85394446;53.59641779;8;2;833.2;226.272;458.3;760.4;233
6180;1;1991;1854;78.61297603;88.04653315;16;1;2235.9;598.624;1248.7;2043.9;620.2
5028;3;1963;1508.4;70.9083916;79.4173986;51;4;1824.68;494.7104;1006.2;1659.24;506.6
3823;3;1960;1146.9;61.83041323;69.25006282;50;6;1387.58;380.0664;766.2;1266.59;385.9
78;2;1950;23.4;8.831760866;9.89157217;6;6;29.88;13.2504;20.5;28.84;10.7
8110;2;2019;2433;90.05553842;100.862203;30;4;2932.1;786.148;1626.6;2677.3;811.3
8074;3;2014;2422.2;89.85543946;100.6380922;24;6;2911.84;786.7632;1627.8;2669.92;808.1
3837;3;1959;1151.1;61.94352266;69.37674538;6;1;1394.72;374.6216;773.5;1270.81;384.9
1817;3;2014;545.1;42.62628297;47.74143693;26;2;660.62;185.0856;376.4;602.11;184.1
7359;3;2004;2207.7;85.78461401;96.07876769;22;4;2657.94;715.5512;1486.1;2429.67;739.2
430;1;1987;129;20.73644135;23.22481432;6;4;163.2;41.824;100.5;142.2;46.8
3289;3;2014;986.7;57.34980384;64.2317803;39;4;1196.64;320.5752;659.8;1085.57;328.9
3458;1;1996;1037.4;58.80476171;65.86133312;8;1;1254.68;340.4344;702.5;1142.54;346.7
4923;3;2000;1476.9;70.16409338;78.58378459;44;4;1782.58;477.8464;991;1624.79;493.5
6741;2;2004;2022.3;82.1035931;91.95602427;48;1;2435.96;657.4288;1355.2;2226.13;674.9
9232;3;1963;2769.6;96.0832972;107.6132929;78;2;3326.62;895.7576;1856.3;3049.16;925.4
8986;3;1964;2695.8;94.79451461;106.1698564;33;3;3243.56;876.7448;1804.1;2970.78;902.2
5849;3;2014;1754.7;76.47875522;85.65620585;52;8;2117.94;568.9832;1175.6;1935.67;586.1
5861;3;1958;1758.3;76.55716818;85.74402836;10;2;2115.56;572.5448;1184.1;1939.63;586.2
10573;1;1955;3171.9;102.8250942;115.1641055;22;1;3807.98;1030.0664;2125.1;3494.49;1058.9
4517;3;2008;1355.1;67.2086304;75.27366605;36;3;1635.52;441.6456;904.4;1493.31;453
8897;3;2001;2669.1;94.32391001;105.6427792;86;2;3210.82;869.4296;1780.2;2939.21;890.6
10667;3;1966;3200.1;103.2811696;115.67491;28;8;3850.92;1040.8656;2133.7;3525.61;1070.3
1646;1;1996;493.8;40.57092555;45.43943662;28;4;595.26;166.6328;335.3;549.08;166.7
4316;2;1976;1294.8;65.69627082;73.57982332;55;2;1565.16;425.5888;872.6;1426.48;432.4
10296;2;1975;3088.8;101.4692072;113.645512;84;2;3718.26;1005.4528;2072.3;3400.78;1032.5
7314;1;1988;2194.2;85.52192701;95.78455825;84;3;2639.44;711.9952;1468.9;2413.82;734.7
1652;2;1940;495.6;40.64480287;45.52217921;40;8;604.22;161.6136;336;550.66;167.3
3486;3;1973;1045.8;59.04235768;66.1274406;12;2;1254.96;339.6448;704.2;1153.98;352.3
417;1;2003;125.1;20.42057786;22.8710472;14;2;151.92;47.0656;91.7;142.11;43.6
10095;2;1997;3028.5;100.4738772;112.5307425;25;2;3635.7;987.096;2021.3;3331.85;1012.6
7020;1;1994;2106;83.78544026;93.83969309;8;8;2534.4;689.436;1404.2;2317.5;703.9
1502;1;1965;450.6;38.75564475;43.40632212;14;1;541.92;153.9936;302.2;496.26;151.5
9047;1;1976;2714.1;95.115719;106.5296053;88;2;3267.42;880.1496;1817.4;2989.71;906.6
1768;2;1977;530.4;42.04759208;47.09330313;37;2;643.68;176.9424;359.9;585.54;178.4
3808;2;1995;1142.4;61.70899448;69.11407382;4;4;1372.68;378.6144;775.8;1260.64;383.7
3486;3;2003;1045.8;59.04235768;66.1274406;53;2;1261.06;347.0448;700.5;1150.38;351
10392;2;2016;3117.6;101.9411595;114.1740986;27;8;3745.72;1010.0456;2086.2;3432.06;1043
1950;3;1991;585;44.15880433;49.45786085;20;2;708.6;190.66;396.7;644.8;196.8
7951;3;2017;2385.3;89.16838005;99.86858565;65;6;2870.96;779.2568;1591.8;2624.63;795.1
7494;1;2016;2248.2;86.56789243;96.95603952;11;2;2706.94;725.9192;1512.7;2475.52;752.1
6040;2;1964;1812;77.71743691;87.04352934;59;1;2182.8;587.072;1209.1;1997.4;606.4
10623;2;1987;3186.9;103.0679388;115.4360914;89;4;3826.78;1030.2064;2127.9;3506.49;1065.2
10439;1;1961;3131.7;102.1714246;114.4319955;24;4;3761.54;1020.1952;2098.2;3448.77;1044.8
8245;1;1940;2473.5;90.80198236;101.6982202;58;3;2979.9;804.516;1654.4;2724.45;826.1
615;3;1990;184.5;24.79919354;27.77509676;18;4;233.6;67.332;134.8;206.15;63
3787;3;2016;1136.1;61.53860577;68.92323846;48;1;1373.42;374.2816;763.2;1250.41;379.8
296;2;2006;88.8;17.20465053;19.2692086;9;2;117.86;35.4528;68.8;100.58;32.1
2156;1;1979;646.8;46.43274706;52.00467671;46;1;790.06;212.7008;444;711.48;216.9
150;2;2008;45;12.24744871;13.71714256;10;2;54.8;16.52;32.9;49.9;16.2
3045;1;1997;913.5;55.18151865;61.80330088;34;1;1105.2;298.056;616.4;1005.05;306.6
1080;1;1981;324;32.86335345;36.80695586;13;4;401.6;109.844;216.3;358.3;110.4
6553;2;2016;1965.9;80.95060222;90.66467449;34;6;2371.38;643.9304;1319.8;2163.39;655.5
9179;2;1979;2753.7;95.80709786;107.3039496;77;4;3309.24;896.4272;1838.3;3035.07;918.5
7755;3;1964;2326.5;88.06247782;98.62997516;11;8;2801.6;758.184;1563.3;2563.45;777.1
1593;2;1949;477.9;39.91240409;44.70189258;4;2;585.88;160.7024;330.2;526.69;162.2
10141;3;1995;3042.3;100.7025322;112.7868361;57;2;3657.76;988.8488;2041;3349.73;1017.2
500;3;1948;150;22.36067977;25.04396135;9;4;189.4;57.3;101.4;169.7;51.8
238;1;1960;71.4;15.42724862;17.27851846;15;4;88.48;27.3384;50.6;79.64;25.7
5262;2;1959;1578.6;72.53964433;81.24440165;38;4;1908.62;510.8616;1061.7;1736.96;527.2
10203;1;1984;3060.9;101.0099005;113.1310886;36;2;3679.78;994.8504;2043.9;3367.59;1024.1
1924;2;1989;577.2;43.8634244;49.12703533;39;4;706.24;188.1432;398.9;639.12;194.3
7636;1;2014;2290.8;87.3842091;97.87031419;22;8;2758.76;742.9648;1528.1;2525.18;767.4
8587;2;1982;2576.1;92.66606714;103.7859952;90;4;3101.92;832.6216;1728.6;2836.21;859.9
3839;3;1941;1151.7;61.9596643;69.39482401;52;2;1382.74;373.9152;780.8;1270.57;387.1
6168;2;2019;1850.4;78.53661566;87.96100954;36;1;2222.38;602.5624;1248.5;2041.24;618.5
5620;2;1941;1686;74.96665926;83.96265837;51;2;2025.6;544.816;1125.1;1859.4;565.3
10663;2;1973;3198.9;103.2618032;115.6532196;101;8;3850.28;1041.8784;2138.2;3524.59;1069.7
1614;3;2014;484.2;40.17461885;44.99557312;21;1;582.94;159.6352;329.4;536.82;164.8
3870;3;2006;1161;62.20932406;69.67444295;2;6;1394;384.416;776.9;1278.5;387.4
10721;1;2001;3216.3;103.5422619;115.9673333;69;2;3863.46;1038.0928;2150.8;3542.43;1073.9
1528;2;1952;458.4;39.08964057;43.78039744;3;4;555.68;153.8104;314.4;507.04;155
2005;2;1993;601.5;44.77722635;50.15049352;10;1;735.4;202.584;403.7;662.65;202.8
7803;2;1947;2340.9;88.33459119;98.93474213;34;4;2820.18;756.2304;1567.6;2580.89;781.4
